#SPECTRUM - MS
#20190701-APO-6-25-3.RAW
#FTMS + p NSI Full ms2 1000.0000@hcd300.00 [1000.0000-20000.0000]
#Scan #: 1277-1613
#RT: 5.36-6.79
#AV: 337
#Data points: 51778
Mass	Background
1022.957379	31.938864
1022.988410	28.969419
1023.019442	25.928343
1023.050475	24.324065
1023.081510	22.225334
1023.112546	21.830696
1023.143584	24.318747
1023.174623	25.362098
1023.205663	22.315630
1023.236705	14.231640
1023.267748	13.075986
1023.298793	15.414337
1023.329839	16.207093
1023.360886	16.058065
1023.391935	19.176321
1023.422986	25.866624
1023.454037	35.281806
1023.485090	41.153830
1023.516145	41.148465
1023.547201	34.086140
1023.578258	25.530952
1023.609317	27.313114
1023.640377	33.404018
1023.671439	41.936990
1023.702502	45.754026
1023.733566	42.832706
1023.764632	37.597251
1023.795700	35.101424
1023.826768	35.388537
1023.857838	31.018417
1023.888910	31.253083
1023.919983	33.749614
1023.951057	36.946198
1023.982133	38.164009
1024.013210	46.830345
1024.044289	44.303922
1024.075369	36.368137
1024.106450	26.913577
1024.137533	18.795918
1024.168617	15.147047
1024.199703	12.843077
1024.230790	8.711289
1024.261878	11.798692
1024.292968	16.398932
1024.324060	19.849669
1024.355152	26.982414
1024.386247	29.566360
1024.417342	30.792794
1024.448439	30.839926
1024.479538	26.633915
1024.510637	23.325532
1024.541739	22.649196
1024.572841	25.522034
1024.603945	31.394856
1024.635051	37.699140
1024.666158	36.999010
1024.697266	31.176264
1024.728376	23.137125
1024.759487	22.423517
1024.790600	21.463941
1024.821713	17.691350
1024.852829	12.970351
1024.883946	12.446978
1024.915064	12.227533
1024.946184	16.386477
1024.977305	23.871534
1025.008427	31.336202
1025.039551	29.144035
1025.070676	25.778738
1025.101803	21.081001
1025.132931	21.106297
1025.164061	22.112817
1025.195192	27.809983
1025.226324	31.456296
1025.257458	35.551068
1025.288593	37.253846
1025.319730	37.655982
1025.350868	37.225794
1025.382008	33.413799
1025.413149	33.150083
1025.444291	31.936462
1025.475435	29.344268
1025.506580	29.945693
1025.537727	32.155032
1025.568875	32.002000
1025.600024	30.451337
1025.631175	29.139741
1025.662327	26.066229
1025.693481	27.749849
1025.724636	34.276807
1025.755792	40.003625
1025.786950	44.014671
1025.818110	41.164885
1025.849271	41.085091
1025.880433	45.576513
1025.911596	52.931138
1025.942762	49.708209
1025.973928	37.791084
1026.005096	25.281626
1026.036265	17.535751
1026.067436	14.858385
1026.098608	14.036549
1026.129782	17.915422
1026.160957	23.182332
1026.192133	26.290288
1026.223311	24.700706
1026.254490	21.890661
1026.285671	21.617039
1026.316853	24.086420
1026.348037	24.850622
1026.379221	24.663145
1026.410408	23.445734
1026.441596	24.634184
1026.472785	23.156272
1026.503975	25.070288
1026.535168	30.580441
1026.566361	34.495582
1026.597556	37.231932
1026.628752	35.864593
1026.659950	33.959686
1026.691149	32.098609
1026.722350	32.398268
1026.753552	30.421026
1026.784755	33.111139
1026.815960	34.225509
1026.847166	33.382047
1026.878374	26.451383
1026.909583	20.012374
1026.940794	17.529858
1026.972006	21.714279
1027.003219	20.015202
1027.034434	17.262289
1027.065650	14.843029
1027.096868	17.848042
1027.128087	22.439247
1027.159307	29.519967
1027.190529	31.681168
1027.221753	30.109830
1027.252977	27.319855
1027.284204	24.965002
1027.315431	21.660060
1027.346660	22.608306
1027.377891	27.829027
1027.409123	33.635131
1027.440356	34.498609
1027.471591	33.027355
1027.502827	32.806137
1027.534064	33.209442
1027.565303	35.589560
1027.596544	36.147602
1027.627786	36.170749
1027.659029	34.420832
1027.690274	30.519685
1027.721520	29.663549
1027.752767	30.693566
1027.784016	29.994525
1027.815267	27.680125
